com.samsung.shealth.step_daily_trend,6221053,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
8020bfa5-94df-4d57-852c-d82069badd37.binning_data.json,2022-01-15 20:56:47.204,2022-01-15 10:15:01.392,com.sec.android.app.shealth,-2,11416,1.7609516,9570.89,454.5,VfS0qUERdZ,com.sec.android.app.shealth,8020bfa5-94df-4d57-852c-d82069badd37,1642204800000,
366307be-70d8-4f8e-b470-b0a527565846.binning_data.json,2022-01-16 20:59:20.312,2022-01-15 21:13:00.056,com.sec.android.app.shealth,-2,40005,1.5477908,31683.39,1421.23,VfS0qUERdZ,com.sec.android.app.shealth,366307be-70d8-4f8e-b470-b0a527565846,1642291200000,
2abca6bc-1eb0-44ed-9a78-164741385d2f.binning_data.json,2022-01-17 21:08:26.598,2022-01-17 21:00:00.889,com.sec.android.app.shealth,0,14869,1.5920064,11863.811,603.33997,e7FCb+MfnB,com.sec.android.app.shealth,2abca6bc-1eb0-44ed-9a78-164741385d2f,1642377600000,
9995cdd6-053e-4144-8c47-a2bed49bec21.binning_data.json,2022-01-16 21:00:01.238,2022-01-16 21:00:01.238,com.sec.android.app.shealth,0,40005,1.5477908,31683.39,1421.23,e7FCb+MfnB,com.sec.android.app.shealth,9995cdd6-053e-4144-8c47-a2bed49bec21,1642291200000,
d930e3a1-2419-4e4c-8690-d2b999a9b08b.binning_data.json,2022-01-15 21:00:08.861,2022-01-15 21:00:01.395,com.sec.android.app.shealth,0,11827,1.7735976,9944.32,473.99,e7FCb+MfnB,com.sec.android.app.shealth,d930e3a1-2419-4e4c-8690-d2b999a9b08b,1642204800000,
8d896a93-aaef-4abf-a6f7-ec6c3ac05a60.binning_data.json,2022-01-17 20:57:56.352,2022-01-16 21:02:01.294,com.sec.android.app.shealth,-2,14861,1.5916504,11856.04,602.88,VfS0qUERdZ,com.sec.android.app.shealth,8d896a93-aaef-4abf-a6f7-ec6c3ac05a60,1642377600000,
1d127edd-1312-48c0-aaa6-4a0b7b2733ee.binning_data.json,2022-01-18 20:48:01.991,2022-01-17 21:15:05.201,com.sec.android.app.shealth,-2,12229,1.5156046,9664.99,495.03,VfS0qUERdZ,com.sec.android.app.shealth,1d127edd-1312-48c0-aaa6-4a0b7b2733ee,1642464000000,
c2dfeb27-8650-4bd0-9758-97b50aacfb47.binning_data.json,2022-01-20 21:00:01.151,2022-01-20 21:00:01.151,com.sec.android.app.shealth,0,14504,1.5545117,11500.9795,585.39996,e7FCb+MfnB,com.sec.android.app.shealth,c2dfeb27-8650-4bd0-9758-97b50aacfb47,1642636800000,
4dc45b09-ad52-4c82-b3ed-df9e9216506a.binning_data.json,2022-01-19 21:00:15.723,2022-01-19 21:00:15.723,com.sec.android.app.shealth,0,15163,1.6699129,12350.89,637.12,e7FCb+MfnB,com.sec.android.app.shealth,4dc45b09-ad52-4c82-b3ed-df9e9216506a,1642550400000,
d7fc8f85-a5dd-4b93-b0f7-e74ac82a7990.binning_data.json,2022-01-20 20:55:01.641,2022-01-19 21:13:27.027,com.sec.android.app.shealth,-2,14504,1.5545117,11500.9795,585.39996,VfS0qUERdZ,com.sec.android.app.shealth,d7fc8f85-a5dd-4b93-b0f7-e74ac82a7990,1642636800000,
e6b108b8-8410-4bf0-aa87-c5bbfcfe5744.binning_data.json,2022-01-18 21:00:00.903,2022-01-18 21:00:00.903,com.sec.android.app.shealth,0,12229,1.5156046,9664.99,495.03,e7FCb+MfnB,com.sec.android.app.shealth,e6b108b8-8410-4bf0-aa87-c5bbfcfe5744,1642464000000,
13efd1b2-aa99-4a17-816d-348b578dc2b2.binning_data.json,2022-01-19 20:58:38.097,2022-01-18 21:41:56.283,com.sec.android.app.shealth,-2,15163,1.6699129,12350.89,637.12,VfS0qUERdZ,com.sec.android.app.shealth,13efd1b2-aa99-4a17-816d-348b578dc2b2,1642550400000,
0cbad7e2-e59e-4024-ac77-877a05337feb.binning_data.json,2022-01-23 20:08:34.952,2022-01-22 21:00:29.080,com.sec.android.app.shealth,-2,13035,1.5717353,10362.89,524.64996,VfS0qUERdZ,com.sec.android.app.shealth,0cbad7e2-e59e-4024-ac77-877a05337feb,1642896000000,
64a4af81-77d0-4c42-9d54-f5b3e97acd0a.binning_data.json,2022-01-22 21:00:28.878,2022-01-22 21:00:01.162,com.sec.android.app.shealth,0,20788,1.5278622,16416.03,838.89,e7FCb+MfnB,com.sec.android.app.shealth,64a4af81-77d0-4c42-9d54-f5b3e97acd0a,1642809600000,
8e5266e5-17e4-4725-abd5-8dc4d72aaec0.binning_data.json,2022-01-23 21:00:00.791,2022-01-22 21:00:28.885,com.sec.android.app.shealth,0,13035,1.5717353,10362.89,524.64996,e7FCb+MfnB,com.sec.android.app.shealth,8e5266e5-17e4-4725-abd5-8dc4d72aaec0,1642896000000,
d5387fd3-5f92-4e5e-9662-773f0ca156a2.binning_data.json,2022-01-21 20:48:54.936,2022-01-20 21:50:56.697,com.sec.android.app.shealth,-2,18310,1.5710685,14571.04,742.39,VfS0qUERdZ,com.sec.android.app.shealth,d5387fd3-5f92-4e5e-9662-773f0ca156a2,1642723200000,
cb419784-275e-4b88-91f8-cf71ab5860fc.binning_data.json,2022-01-22 20:55:02.341,2022-01-21 21:09:53.980,com.sec.android.app.shealth,-2,20186,1.5255544,15938.61,814.82,VfS0qUERdZ,com.sec.android.app.shealth,cb419784-275e-4b88-91f8-cf71ab5860fc,1642809600000,
6adb8758-28f3-4862-8a20-e8c906e02d90.binning_data.json,2022-01-21 21:00:01.748,2022-01-21 21:00:01.748,com.sec.android.app.shealth,0,18310,1.5710685,14571.04,742.39,e7FCb+MfnB,com.sec.android.app.shealth,6adb8758-28f3-4862-8a20-e8c906e02d90,1642723200000,
ab75b872-17d8-468f-8b4b-5fbef0f0d0f6.binning_data.json,2022-01-25 21:00:00.969,2022-01-25 21:00:00.969,com.sec.android.app.shealth,0,10153,2.0902145,9135.391,501.77,e7FCb+MfnB,com.sec.android.app.shealth,ab75b872-17d8-468f-8b4b-5fbef0f0d0f6,1643068800000,
8c7e0b2e-3912-46c4-af31-02777ee9af30.binning_data.json,2022-01-24 19:21:40.275,2022-01-23 21:10:12.211,com.sec.android.app.shealth,-2,17244,1.8872658,14723.921,763.95996,VfS0qUERdZ,com.sec.android.app.shealth,8c7e0b2e-3912-46c4-af31-02777ee9af30,1642982400000,
6a3aab51-2fcb-4d1a-ab1c-d5cc88b677d5.binning_data.json,2022-01-26 21:00:01.035,2022-01-26 21:00:01.035,com.sec.android.app.shealth,0,4338,1.9458371,3783.31,202.26999,e7FCb+MfnB,com.sec.android.app.shealth,6a3aab51-2fcb-4d1a-ab1c-d5cc88b677d5,1643155200000,
cf0808c5-00c7-4a6c-b216-c389da562b3a.binning_data.json,2022-01-26 20:29:46.104,2022-01-25 21:36:43.729,com.sec.android.app.shealth,-2,4338,1.9458371,3783.31,202.26999,VfS0qUERdZ,com.sec.android.app.shealth,cf0808c5-00c7-4a6c-b216-c389da562b3a,1643155200000,
95d80d0c-ea21-459e-bcca-0bbe2580e173.binning_data.json,2022-01-24 21:00:00.890,2022-01-24 21:00:00.890,com.sec.android.app.shealth,0,17244,1.8872658,14723.921,763.95996,e7FCb+MfnB,com.sec.android.app.shealth,95d80d0c-ea21-459e-bcca-0bbe2580e173,1642982400000,
a51ab642-a163-41e7-9c9d-cf466389dc21.binning_data.json,2022-01-25 20:37:44.713,2022-01-25 06:34:27.806,com.sec.android.app.shealth,-2,10153,2.0902145,9135.391,501.77,VfS0qUERdZ,com.sec.android.app.shealth,a51ab642-a163-41e7-9c9d-cf466389dc21,1643068800000,
3010fe7e-f638-44ef-a111-2687bcc4354b.binning_data.json,2022-01-27 17:37:35.620,2022-01-26 21:43:25.461,com.sec.android.app.shealth,-2,15352,1.8567842,13304.8,717.01996,VfS0qUERdZ,com.sec.android.app.shealth,3010fe7e-f638-44ef-a111-2687bcc4354b,1643241600000,
81f1106e-bcfb-489a-8d0f-15b4be5efe99.binning_data.json,2022-01-29 21:00:01.098,2022-01-29 21:00:01.098,com.sec.android.app.shealth,0,13441,1.8026857,11413.22,604.79,e7FCb+MfnB,com.sec.android.app.shealth,81f1106e-bcfb-489a-8d0f-15b4be5efe99,1643414400000,
f52e18ec-5856-4c1f-9bfe-3aef17a5e2bc.binning_data.json,2022-01-29 19:21:58.620,2022-01-28 21:32:40.109,com.sec.android.app.shealth,-2,13441,1.8026857,11413.22,604.79,VfS0qUERdZ,com.sec.android.app.shealth,f52e18ec-5856-4c1f-9bfe-3aef17a5e2bc,1643414400000,
9b5514ae-162f-45f3-9c35-8b2cd026be85.binning_data.json,2022-01-28 21:00:01.166,2022-01-28 21:00:01.166,com.sec.android.app.shealth,0,18644,1.8968456,16102.73,860.02997,e7FCb+MfnB,com.sec.android.app.shealth,9b5514ae-162f-45f3-9c35-8b2cd026be85,1643328000000,
09bc80f2-fe79-4d55-bfb1-bda59c8f3547.binning_data.json,2022-01-27 21:00:00.861,2022-01-27 21:00:00.861,com.sec.android.app.shealth,0,15352,1.8567842,13304.8,717.01996,e7FCb+MfnB,com.sec.android.app.shealth,09bc80f2-fe79-4d55-bfb1-bda59c8f3547,1643241600000,
5b055eb0-8dcd-4e75-b2db-fdaa899c74ad.binning_data.json,2022-01-30 18:53:35.265,2022-01-29 21:02:12.933,com.sec.android.app.shealth,-2,10683,1.501035,8427.46,432.84998,VfS0qUERdZ,com.sec.android.app.shealth,5b055eb0-8dcd-4e75-b2db-fdaa899c74ad,1643500800000,
6f65ffe8-dab1-48b2-b5b6-7d57bdd5c55b.binning_data.json,2022-02-01 21:00:02.357,2022-02-01 21:00:02.357,com.sec.android.app.shealth,0,10391,1.7817104,8638.76,442.66995,e7FCb+MfnB,com.sec.android.app.shealth,6f65ffe8-dab1-48b2-b5b6-7d57bdd5c55b,1643673600000,
86391bcf-60c4-4e82-a75d-0e16720d2354.binning_data.json,2022-01-28 18:19:51.855,2022-01-27 21:25:00.960,com.sec.android.app.shealth,-2,18644,1.8968456,16102.73,860.02997,VfS0qUERdZ,com.sec.android.app.shealth,86391bcf-60c4-4e82-a75d-0e16720d2354,1643328000000,
adf94f55-fae0-474f-87b7-788076791100.binning_data.json,2022-02-01 19:58:19.998,2022-01-31 22:37:32.688,com.sec.android.app.shealth,-2,10391,1.7817104,8638.76,442.66995,VfS0qUERdZ,com.sec.android.app.shealth,adf94f55-fae0-474f-87b7-788076791100,1643673600000,
35d6c582-9b31-4d2f-99a8-cca2d71f346b.binning_data.json,2022-02-02 17:28:37.693,2022-02-02 08:55:04.318,com.sec.android.app.shealth,-2,1194,1.6955363,991.59,50.86,VfS0qUERdZ,com.sec.android.app.shealth,35d6c582-9b31-4d2f-99a8-cca2d71f346b,1643760000000,
8fe29902-d804-421e-975f-3be177fcba3a.binning_data.json,2022-01-30 21:00:01.013,2022-01-30 21:00:01.013,com.sec.android.app.shealth,0,10683,1.501035,8427.46,432.84998,e7FCb+MfnB,com.sec.android.app.shealth,8fe29902-d804-421e-975f-3be177fcba3a,1643500800000,
09df0272-f2ed-4ac8-acf7-b56f896ddcfc.binning_data.json,2022-02-04 21:00:01.321,2022-02-04 21:00:01.321,com.sec.android.app.shealth,0,10261,1.8871548,8694.5,445.86,e7FCb+MfnB,com.sec.android.app.shealth,09df0272-f2ed-4ac8-acf7-b56f896ddcfc,1643932800000,
55230b86-e0fc-44c5-b180-bcc10a1a7b0e.binning_data.json,2022-01-31 16:09:24.606,2022-01-30 22:36:45.988,com.sec.android.app.shealth,-2,8494,2.054213,7683.77,425.43,VfS0qUERdZ,com.sec.android.app.shealth,55230b86-e0fc-44c5-b180-bcc10a1a7b0e,1643587200000,
ab2edd9b-9c89-4d41-99cf-05cfa75836fd.binning_data.json,2022-01-31 21:06:23.308,2022-01-31 21:06:23.308,com.sec.android.app.shealth,0,8494,2.054213,7683.77,425.43,e7FCb+MfnB,com.sec.android.app.shealth,ab2edd9b-9c89-4d41-99cf-05cfa75836fd,1643587200000,
8c068a36-f4e7-4a4b-9634-fb1073633d29.binning_data.json,2022-02-05 18:28:01.068,2022-02-04 21:11:54.068,com.sec.android.app.shealth,-2,16672,1.7612431,13971.11,734.99,VfS0qUERdZ,com.sec.android.app.shealth,8c068a36-f4e7-4a4b-9634-fb1073633d29,1644019200000,
32a70355-d778-4098-a7ad-6bf769cf94d7.binning_data.json,2022-02-04 20:18:17.355,2022-02-03 21:49:34.059,com.sec.android.app.shealth,-2,10261,1.8871548,8694.5,445.86,VfS0qUERdZ,com.sec.android.app.shealth,32a70355-d778-4098-a7ad-6bf769cf94d7,1643932800000,
1c757fb0-e59c-4ecc-92c5-559530aa92a0.binning_data.json,2022-02-02 21:00:01.359,2022-02-02 21:00:01.359,com.sec.android.app.shealth,0,1194,1.6955363,991.59,50.86,e7FCb+MfnB,com.sec.android.app.shealth,1c757fb0-e59c-4ecc-92c5-559530aa92a0,1643760000000,
b0dd9ee7-8608-41df-adb3-199496a7386c.binning_data.json,2022-02-07 21:00:00.937,2022-02-07 21:00:00.937,com.sec.android.app.shealth,0,11582,1.802424,9710.52,495.62,e7FCb+MfnB,com.sec.android.app.shealth,b0dd9ee7-8608-41df-adb3-199496a7386c,1644192000000,
5300ed08-cc05-49c1-a7c3-80fadd43175d.binning_data.json,2022-02-03 20:32:06.205,2022-02-03 06:23:13.684,com.sec.android.app.shealth,-2,4287,1.7780937,3573.09,175.83,VfS0qUERdZ,com.sec.android.app.shealth,5300ed08-cc05-49c1-a7c3-80fadd43175d,1643846400000,
dc7de2c3-caab-4a3f-bf14-c7e5a7388a1f.binning_data.json,2022-02-03 21:00:00.696,2022-02-03 21:00:00.696,com.sec.android.app.shealth,0,4287,1.7780937,3573.09,175.83,e7FCb+MfnB,com.sec.android.app.shealth,dc7de2c3-caab-4a3f-bf14-c7e5a7388a1f,1643846400000,
2fa15ddc-652d-4792-b982-98c0bbca8025.binning_data.json,2022-02-08 20:58:59.986,2022-02-07 22:18:47.021,com.sec.android.app.shealth,-2,12026,1.61429,9606.869,486.14996,VfS0qUERdZ,com.sec.android.app.shealth,2fa15ddc-652d-4792-b982-98c0bbca8025,1644278400000,
1457deef-6634-44ed-a82c-a78ba4b12e39.binning_data.json,2022-02-07 18:58:52.329,2022-02-06 21:52:38.331,com.sec.android.app.shealth,-2,11582,1.802424,9710.52,495.62,VfS0qUERdZ,com.sec.android.app.shealth,1457deef-6634-44ed-a82c-a78ba4b12e39,1644192000000,
ea1e91c1-464d-4487-b225-8e9e94b8463e.binning_data.json,2022-02-05 21:00:01.427,2022-02-05 21:00:01.427,com.sec.android.app.shealth,0,16672,1.7612431,13971.11,734.99,e7FCb+MfnB,com.sec.android.app.shealth,ea1e91c1-464d-4487-b225-8e9e94b8463e,1644019200000,
9d68b8d6-73f2-42fb-be56-adec00ba9fe0.binning_data.json,2022-02-10 21:00:01.079,2022-02-10 21:00:01.079,com.sec.android.app.shealth,0,23321,1.6892549,19073.99,969.50995,e7FCb+MfnB,com.sec.android.app.shealth,9d68b8d6-73f2-42fb-be56-adec00ba9fe0,1644451200000,
796b469b-2776-4ab5-a371-9dc31b5b4db5.binning_data.json,2022-02-06 18:39:54.340,2022-02-06 07:55:02.793,com.sec.android.app.shealth,-2,17471,1.751921,14317.65,721.89996,VfS0qUERdZ,com.sec.android.app.shealth,796b469b-2776-4ab5-a371-9dc31b5b4db5,1644105600000,
13b0d18a-857b-4429-b3e1-2b41204571cc.binning_data.json,2022-02-10 20:51:51.350,2022-02-09 21:03:12.765,com.sec.android.app.shealth,-2,23321,1.6892549,19073.99,969.50995,VfS0qUERdZ,com.sec.android.app.shealth,13b0d18a-857b-4429-b3e1-2b41204571cc,1644451200000,
88214296-75a2-4bb3-9ace-e893145d7445.binning_data.json,2022-02-08 21:00:01.250,2022-02-08 21:00:01.250,com.sec.android.app.shealth,0,12026,1.61429,9606.869,486.14996,e7FCb+MfnB,com.sec.android.app.shealth,88214296-75a2-4bb3-9ace-e893145d7445,1644278400000,
9a2ea826-5757-4c01-83b3-8d0e0fe42134.binning_data.json,2022-02-11 20:59:41.179,2022-02-10 21:15:01.412,com.sec.android.app.shealth,-2,26022,1.65012,20884.55,1049.97,VfS0qUERdZ,com.sec.android.app.shealth,9a2ea826-5757-4c01-83b3-8d0e0fe42134,1644537600000,
22cdfe64-57ba-48dc-bbc6-dc8b0d8be055.binning_data.json,2022-02-09 20:17:00.969,2022-02-08 22:51:06.702,com.sec.android.app.shealth,-2,17721,1.7151033,14545.85,735.18,VfS0qUERdZ,com.sec.android.app.shealth,22cdfe64-57ba-48dc-bbc6-dc8b0d8be055,1644364800000,
5ebbb531-6873-48f1-af2e-1dee227c50be.binning_data.json,2022-02-13 19:35:01.390,2022-02-12 21:02:05.247,com.sec.android.app.shealth,-2,26206,2.0160384,23342.18,1287.01,VfS0qUERdZ,com.sec.android.app.shealth,5ebbb531-6873-48f1-af2e-1dee227c50be,1644710400000,
0ee41928-6d8e-4cc7-b819-c35a7ce3270d.binning_data.json,2022-02-13 21:00:01.125,2022-02-12 21:02:05.117,com.sec.android.app.shealth,0,26206,2.0160384,23342.18,1287.01,e7FCb+MfnB,com.sec.android.app.shealth,0ee41928-6d8e-4cc7-b819-c35a7ce3270d,1644710400000,
7371e56b-dd07-4a34-9b36-4fef7a6502d1.binning_data.json,2022-02-06 21:00:01.071,2022-02-06 21:00:01.071,com.sec.android.app.shealth,0,17471,1.751921,14317.65,721.89996,e7FCb+MfnB,com.sec.android.app.shealth,7371e56b-dd07-4a34-9b36-4fef7a6502d1,1644105600000,
d37ebf8a-108f-4691-9ec0-e6c4001aac5d.binning_data.json,2022-02-14 20:29:48.327,2022-02-13 21:19:02.629,com.sec.android.app.shealth,-2,23833,1.7802516,19932.51,1026.77,VfS0qUERdZ,com.sec.android.app.shealth,d37ebf8a-108f-4691-9ec0-e6c4001aac5d,1644796800000,
01f43942-d489-4e3a-a6ec-ac122b6e7cbb.binning_data.json,2022-02-11 21:00:01.463,2022-02-11 21:00:01.463,com.sec.android.app.shealth,0,26022,1.65012,20884.55,1049.97,e7FCb+MfnB,com.sec.android.app.shealth,01f43942-d489-4e3a-a6ec-ac122b6e7cbb,1644537600000,
389f2c47-7217-4c62-921a-ea6bd9dedaf2.binning_data.json,2022-02-12 20:02:00.343,2022-02-11 21:11:20.332,com.sec.android.app.shealth,-2,23152,1.666062,18635.85,936.02997,VfS0qUERdZ,com.sec.android.app.shealth,389f2c47-7217-4c62-921a-ea6bd9dedaf2,1644624000000,
c86c2663-5349-438c-82d5-063fd5da439c.binning_data.json,2022-02-16 21:00:00.913,2022-02-16 21:00:00.913,com.sec.android.app.shealth,0,8224,2.0463493,7305.66,400.86,e7FCb+MfnB,com.sec.android.app.shealth,c86c2663-5349-438c-82d5-063fd5da439c,1644969600000,
966dc8bd-a339-4249-89d3-c26e8ec6af70.binning_data.json,2022-02-16 18:41:26.305,2022-02-15 21:57:03.637,com.sec.android.app.shealth,-2,8224,2.0463493,7305.66,400.86,VfS0qUERdZ,com.sec.android.app.shealth,966dc8bd-a339-4249-89d3-c26e8ec6af70,1644969600000,
6da43976-7e72-484a-aef6-0ffb42b0a3f0.binning_data.json,2022-02-09 21:00:00.852,2022-02-09 21:00:00.852,com.sec.android.app.shealth,0,17721,1.7151033,14545.85,735.18,e7FCb+MfnB,com.sec.android.app.shealth,6da43976-7e72-484a-aef6-0ffb42b0a3f0,1644364800000,
a94e1fb7-9dca-4608-860a-54d71ae97705.binning_data.json,2022-02-17 20:53:49.537,2022-02-16 22:15:58.508,com.sec.android.app.shealth,-2,7593,2.0856552,6846.79,383.71,VfS0qUERdZ,com.sec.android.app.shealth,a94e1fb7-9dca-4608-860a-54d71ae97705,1645056000000,
8873ca7b-10fc-4641-88e0-c6718393fa8f.binning_data.json,2022-02-15 16:59:23.060,2022-02-15 06:31:38.328,com.sec.android.app.shealth,-2,19114,1.7030991,15809.87,822.5399,VfS0qUERdZ,com.sec.android.app.shealth,8873ca7b-10fc-4641-88e0-c6718393fa8f,1644883200000,
375caca4-a262-4b68-b916-bb5c3e2fd81b.binning_data.json,2022-02-19 21:00:02.625,2022-02-19 21:00:02.625,com.sec.android.app.shealth,0,12534,1.6618885,10188.72,512.21,e7FCb+MfnB,com.sec.android.app.shealth,375caca4-a262-4b68-b916-bb5c3e2fd81b,1645228800000,
0c83b42a-ccae-4b3a-8fda-6bce54816cd1.binning_data.json,2022-02-12 21:02:05.124,2022-02-12 21:00:01.792,com.sec.android.app.shealth,0,23181,1.6659542,18658.98,937.11993,e7FCb+MfnB,com.sec.android.app.shealth,0c83b42a-ccae-4b3a-8fda-6bce54816cd1,1644624000000,
ae21047e-d011-4044-b8a1-2058be68080f.binning_data.json,2022-02-14 21:00:00.969,2022-02-14 21:00:00.969,com.sec.android.app.shealth,0,23833,1.7802516,19932.51,1026.77,e7FCb+MfnB,com.sec.android.app.shealth,ae21047e-d011-4044-b8a1-2058be68080f,1644796800000,
b0389017-ef4c-4b7e-8399-3203f5256d06.binning_data.json,2022-02-18 18:54:29.887,2022-02-17 22:58:39.518,com.sec.android.app.shealth,-2,7488,1.6634387,6082.11,308.34998,VfS0qUERdZ,com.sec.android.app.shealth,b0389017-ef4c-4b7e-8399-3203f5256d06,1645142400000,
c59f5f9a-114c-4809-8f9e-f57f9620d667.binning_data.json,2022-02-19 19:34:50.385,2022-02-19 04:46:40.306,com.sec.android.app.shealth,-2,12534,1.6618885,10188.72,512.21,VfS0qUERdZ,com.sec.android.app.shealth,c59f5f9a-114c-4809-8f9e-f57f9620d667,1645228800000,
dba522fb-5b7b-4b52-9132-ae7ae23ad944.binning_data.json,2022-02-20 19:36:48.990,2022-02-20 09:39:21.324,com.sec.android.app.shealth,-2,12105,1.984205,10651.7705,578.05,VfS0qUERdZ,com.sec.android.app.shealth,dba522fb-5b7b-4b52-9132-ae7ae23ad944,1645315200000,
6bd6f2eb-e79b-42d0-8c9d-f4f6d405eab0.binning_data.json,2022-02-22 21:00:01.176,2022-02-22 21:00:01.176,com.sec.android.app.shealth,0,13422,1.6832485,11091.19,573.31,e7FCb+MfnB,com.sec.android.app.shealth,6bd6f2eb-e79b-42d0-8c9d-f4f6d405eab0,1645488000000,
82f9bd49-4f2d-4c0e-ba6a-b63f166791f2.binning_data.json,2022-02-15 21:00:01.242,2022-02-15 21:00:01.242,com.sec.android.app.shealth,0,19114,1.7030991,15809.87,822.5399,e7FCb+MfnB,com.sec.android.app.shealth,82f9bd49-4f2d-4c0e-ba6a-b63f166791f2,1644883200000,
